id,KMeansLabels,artist,title,genre
64629,11,Blank & Kytt,Rock,Hip-Hop
127062,1,Robin Mitchell,When I'm Gone,Folk
131166,30,The Crypts!,Luck That's Dumb/Happy Birthday Dave!,Rock
71230,48,J-K,Kamikaze,Hip-Hop
143296,40,Chase Alan Willis,Cartoon Faced,Instrumental
30522,39,Trash80,At Teh Disko,Electronic
70660,20,C-Doc,Livin' The Amerikan Dream,Hip-Hop
126354,29,Boonesboro,birthday,Pop
64601,40,Buildings and Mountains,Start Running,Experimental
132453,1,Ava Zandieh,Ghost Of You,Folk
36147,7,Shatterfreak,PMoos - Champagne Dreamz (Shatterfreak's 0% Alcohol Remix),Electronic
126426,1,Shy and the Fight,"Pick a subject, let's have an argument",Pop
117610,42,Blue Dot Sessions,Outside the Terminal,Instrumental
129926,31,Radio Jarocho and Zenen Zeferino Huervo,Vieja,International
48466,33,Sycamore Drive,Slumber,Electronic
85400,22,Black Pus,Blow to the Head,Experimental
40984,8,Kristin Hersh,Crooked,Rock
1066,7,Lucky Dragons,Helicopter de Cristal,Experimental
83717,27,Cullah,Ninety Six,Hip-Hop
129098,41,The Vivisectors,One Is Always Right,Rock
55437,22,Bird Names,People Should Get More Aware,Pop
63191,24,speedy ortiz,Taylor Swift,Rock
14319,26,Black Sea Hotel,Pila Jana,International
8056,24,The Dirtbombs,Get It While You Can,Rock
133942,36,Raul Diaz Palomar,Plan II,Instrumental
97986,11,Deadly Combo,Incredible Things (Instrumental),Hip-Hop
118279,15,springtide,crucial,Rock
134793,0,Pianochocolate,Sunshower,Instrumental
38817,17,Sláinte,The Banshee. Gravel Walks. The Old Copperplate,International
116240,27,RPG-H8R,Rah Rah Rah,Electronic
89212,36,Nat Roe,Side A,Experimental
116526,23,Squire Tuck,My Magnificent Melancholy Muse,Instrumental
84736,33,Circus Marcus,Pompas de Jabón,Instrumental
85428,15,Orange Peels,Yonder,Pop
109189,44,Aires,Solvet Cosmos In Favilla,Instrumental
118084,18,PC-ONE,Only All,Experimental
127274,36,Hissing Fauna,This Turkey Town,Pop
108297,18,Celebration,Battles,Rock
132679,6,Future Sauce,Giallo Pudding,Instrumental
133567,14,David Szesztay,Romance,Instrumental
144937,46,Maxwell Powers,After All You Say,Pop
46846,25,Monk Turner,Valentines Day Directions for the Lonely,Pop
133573,28,David Szesztay,Surreal 2,Instrumental
38354,14,Mastermind XS,Not free but not afraid (instrumental),International
137715,24,The Vivisectors,Leopard Girl,Rock
24741,30,Druzina,Davaj Me,International
90582,38,Pilesar,End Theme,Pop
64365,43,Bergitta Victor,I Feel,Pop
85831,6,Frame,Flames (The Beginning),Electronic
84291,13,Mudhoney,I Like It Small,Rock
111936,13,Ebsa,Like it or Not,Hip-Hop
96695,16,Melissa Laveaux,Cart Sans Horse,Folk
145432,3,Fabian Measures,Ebb and Flow,Instrumental
40238,36,Big Blood,AIRAID AIR RAID,Folk
108532,4,Ghost By Nature,Open Box,Electronic
65090,23,Floris Vanhoof,excerpt from the B-side,Experimental
139937,34,Resonancedj & Giulio Maddaloni,Speleology,Electronic
108526,37,Ghost By Nature,Brain Tracker,Electronic
52628,19,Jason Shaw,Vanishing Horizon,Electronic
118735,15,The Golden Dawn,Moonlight,Folk
143057,4,Mystery Mammal,There Is Something Wrong,Electronic
1270,49,Necropolis,Cocksuckerbastardmotherfucker,Rock
89992,6,Secrets Of The 45,[upl053] Verdant Peal - 03.Patau Limbo,Experimental
42375,37,Broke For Free,Day Bird,Electronic
22481,29,Ergo Phizmiz,The Sandman,Pop
620,8,Ed Askew,Arabesque,Folk
142361,20,The Impossebulls,Bad Cop,Hip-Hop
128812,10,Blue Dot Sessions,Lathe,Instrumental
120296,23,Cory Gray,All My Light,Instrumental
126181,5,Joao Picoito,Hope,Instrumental
150017,41,Urs Graf Consort,E.N.A.,Pop
97548,45,Malportado Kids,Fuego,Electronic
127300,3,"Oh Yeah, the Future",Lackadaisical,Pop
55782,30,t3h rave,A Boring Halloween,Electronic
126778,31,Connie Acher & Jelly,I Miss You Already,Folk
52953,18,Marissa Nadler,Your Heart Is A Twisted Vine,Folk
120309,46,Cory Gray,Follow The Trail,Instrumental
23172,46,Juanitos,Octopussy,Rock
77523,42,The Fucked Up Beat,Mystery Aircraft Lost in Fog over California Canyons / Holy the Stock Market filled with the millions!,Experimental
37113,22,Weirdomusic,Very Scary (Part 2),Instrumental
52947,29,Marissa Nadler,Little King,Folk
